meta_id,meta_name,niche_id,niche_name,opportunity_type,opportunity_description,applicable_methods,revenue_model,priority_score,detected_at
META001,Cozy AI Companions,N003,Tech,CONTENT,Cozy AI Companions content series for Tech,"MM006,CF013",Ads + Creator Fund,147,2026-03-05T01:00:10.981166
META005,Sleep Soundscape Coins,N011,Sleep,CONTENT,Sleep Soundscape Coins content series for Sleep,"MM006,CF013",Ads + Creator Fund,131,2026-03-05T01:00:10.981297
META005,Sleep Soundscape Coins,N033,Memes,CONTENT,Sleep Soundscape Coins content series for Memes,"MM006,CF013",Ads + Creator Fund,131,2026-03-05T01:00:10.981300
META001,Cozy AI Companions,N003,Tech,MEMECOIN,Cozy AI Companions community coin for Tech,MM034,Trading,117,2026-03-05T01:00:10.981170
META008,GenZ Stock Memes,N007,GenZ Finance,CONTENT,GenZ Stock Memes content series for GenZ Finance,"MM006,CF013",Ads + Creator Fund,108,2026-03-05T01:00:10.981381
META008,GenZ Stock Memes,N014,Stocks,CONTENT,GenZ Stock Memes content series for Stocks,"MM006,CF013",Ads + Creator Fund,108,2026-03-05T01:00:10.981384
META008,GenZ Stock Memes,N023,Investing,CONTENT,GenZ Stock Memes content series for Investing,"MM006,CF013",Ads + Creator Fund,108,2026-03-05T01:00:10.981386
META008,GenZ Stock Memes,N033,Memes,CONTENT,GenZ Stock Memes content series for Memes,"MM006,CF013",Ads + Creator Fund,108,2026-03-05T01:00:10.981389
META006,Micro-Fasting Timers,N033,Memes,CONTENT,Micro-Fasting Timers content series for Memes,"MM006,CF013",Ads + Creator Fund,105,2026-03-05T01:00:10.981328
META004,AI Study Agents,N003,Tech,CONTENT,AI Study Agents content series for Tech,"MM006,CF013",Ads + Creator Fund,103,2026-03-05T01:00:10.981265
META004,AI Study Agents,N010,Students,CONTENT,AI Study Agents content series for Students,"MM006,CF013",Ads + Creator Fund,103,2026-03-05T01:00:10.981270
META002,Morning Mobility Stack,N033,Memes,CONTENT,Morning Mobility Stack content series for Memes,"MM006,CF013",Ads + Creator Fund,102,2026-03-05T01:00:10.981202
META005,Sleep Soundscape Coins,N011,Sleep,MEMECOIN,Sleep Soundscape Coins community coin for Sleep,MM034,Trading,101,2026-03-05T01:00:10.981298
