meta_id,meta_name,niche_id,niche_name,opportunity_type,opportunity_description,applicable_methods,revenue_model,priority_score,detected_at
META001,Cozy AI Companions,N003,Tech,CONTENT,Cozy AI Companions content series for Tech,"MM006,CF013",Ads + Creator Fund,147,2026-03-12T02:00:10.798107
META005,Sleep Soundscape Coins,N011,Sleep,CONTENT,Sleep Soundscape Coins content series for Sleep,"MM006,CF013",Ads + Creator Fund,131,2026-03-12T02:00:10.798268
META005,Sleep Soundscape Coins,N033,Memes,CONTENT,Sleep Soundscape Coins content series for Memes,"MM006,CF013",Ads + Creator Fund,131,2026-03-12T02:00:10.798271
META001,Cozy AI Companions,N003,Tech,MEMECOIN,Cozy AI Companions community coin for Tech,MM034,Trading,117,2026-03-12T02:00:10.798111
META008,GenZ Stock Memes,N007,GenZ Finance,CONTENT,GenZ Stock Memes content series for GenZ Finance,"MM006,CF013",Ads + Creator Fund,108,2026-03-12T02:00:10.798366
META008,GenZ Stock Memes,N014,Stocks,CONTENT,GenZ Stock Memes content series for Stocks,"MM006,CF013",Ads + Creator Fund,108,2026-03-12T02:00:10.798373
META008,GenZ Stock Memes,N023,Investing,CONTENT,GenZ Stock Memes content series for Investing,"MM006,CF013",Ads + Creator Fund,108,2026-03-12T02:00:10.798376
META008,GenZ Stock Memes,N033,Memes,CONTENT,GenZ Stock Memes content series for Memes,"MM006,CF013",Ads + Creator Fund,108,2026-03-12T02:00:10.798380
META006,Micro-Fasting Timers,N033,Memes,CONTENT,Micro-Fasting Timers content series for Memes,"MM006,CF013",Ads + Creator Fund,105,2026-03-12T02:00:10.798303
META004,AI Study Agents,N003,Tech,CONTENT,AI Study Agents content series for Tech,"MM006,CF013",Ads + Creator Fund,103,2026-03-12T02:00:10.798229
META004,AI Study Agents,N010,Students,CONTENT,AI Study Agents content series for Students,"MM006,CF013",Ads + Creator Fund,103,2026-03-12T02:00:10.798235
META002,Morning Mobility Stack,N033,Memes,CONTENT,Morning Mobility Stack content series for Memes,"MM006,CF013",Ads + Creator Fund,102,2026-03-12T02:00:10.798152
META005,Sleep Soundscape Coins,N011,Sleep,MEMECOIN,Sleep Soundscape Coins community coin for Sleep,MM034,Trading,101,2026-03-12T02:00:10.798269
META005,Sleep Soundscape Coins,N033,Memes,MEMECOIN,Sleep Soundscape Coins community coin for Memes,MM034,Trading,101,2026-03-12T02:00:10.798273
META008,GenZ Stock Memes,N007,GenZ Finance,INFO_PRODUCT,GenZ Stock Memes guide/template for GenZ Finance,"MM002,MM025,MM046",One-time sale,98,2026-03-12T02:00:10.798371
META008,GenZ Stock Memes,N014,Stocks,INFO_PRODUCT,GenZ Stock Memes guide/template for Stocks,"MM002,MM025,MM046",One-time sale,98,2026-03-12T02:00:10.798374
META008,GenZ Stock Memes,N023,Investing,INFO_PRODUCT,GenZ Stock Memes guide/template for Investing,"MM002,MM025,MM046",One-time sale,98,2026-03-12T02:00:10.798378
META008,GenZ Stock Memes,N033,Memes,INFO_PRODUCT,GenZ Stock Memes guide/template for Memes,"MM002,MM025,MM046",One-time sale,98,2026-03-12T02:00:10.798381
META004,AI Study Agents,N003,Tech,MEMECOIN,AI Study Agents community coin for Tech,MM034,Trading,93,2026-03-12T02:00:10.798231
