meta_id,meta_name,niche_id,niche_name,opportunity_type,opportunity_description,applicable_methods,revenue_model,priority_score,detected_at
META001,Cozy AI Companions,N003,Tech,CONTENT,Cozy AI Companions content series for Tech,"MM006,CF013",Ads + Creator Fund,147,2026-03-23T02:00:10.540850
META005,Sleep Soundscape Coins,N011,Sleep,CONTENT,Sleep Soundscape Coins content series for Sleep,"MM006,CF013",Ads + Creator Fund,131,2026-03-23T02:00:10.541007
META005,Sleep Soundscape Coins,N033,Memes,CONTENT,Sleep Soundscape Coins content series for Memes,"MM006,CF013",Ads + Creator Fund,131,2026-03-23T02:00:10.541011
META001,Cozy AI Companions,N003,Tech,MEMECOIN,Cozy AI Companions community coin for Tech,MM034,Trading,117,2026-03-23T02:00:10.540854
META008,GenZ Stock Memes,N007,GenZ Finance,CONTENT,GenZ Stock Memes content series for GenZ Finance,"MM006,CF013",Ads + Creator Fund,108,2026-03-23T02:00:10.541110
META008,GenZ Stock Memes,N014,Stocks,CONTENT,GenZ Stock Memes content series for Stocks,"MM006,CF013",Ads + Creator Fund,108,2026-03-23T02:00:10.541114
META008,GenZ Stock Memes,N023,Investing,CONTENT,GenZ Stock Memes content series for Investing,"MM006,CF013",Ads + Creator Fund,108,2026-03-23T02:00:10.541117
META008,GenZ Stock Memes,N033,Memes,CONTENT,GenZ Stock Memes content series for Memes,"MM006,CF013",Ads + Creator Fund,108,2026-03-23T02:00:10.541121
META006,Micro-Fasting Timers,N033,Memes,CONTENT,Micro-Fasting Timers content series for Memes,"MM006,CF013",Ads + Creator Fund,105,2026-03-23T02:00:10.541043
META004,AI Study Agents,N003,Tech,CONTENT,AI Study Agents content series for Tech,"MM006,CF013",Ads + Creator Fund,103,2026-03-23T02:00:10.540969
META004,AI Study Agents,N010,Students,CONTENT,AI Study Agents content series for Students,"MM006,CF013",Ads + Creator Fund,103,2026-03-23T02:00:10.540974
META002,Morning Mobility Stack,N033,Memes,CONTENT,Morning Mobility Stack content series for Memes,"MM006,CF013",Ads + Creator Fund,102,2026-03-23T02:00:10.540893
META005,Sleep Soundscape Coins,N011,Sleep,MEMECOIN,Sleep Soundscape Coins community coin for Sleep,MM034,Trading,101,2026-03-23T02:00:10.541009
META005,Sleep Soundscape Coins,N033,Memes,MEMECOIN,Sleep Soundscape Coins community coin for Memes,MM034,Trading,101,2026-03-23T02:00:10.541012
META008,GenZ Stock Memes,N007,GenZ Finance,INFO_PRODUCT,GenZ Stock Memes guide/template for GenZ Finance,"MM002,MM025,MM046",One-time sale,98,2026-03-23T02:00:10.541111
META008,GenZ Stock Memes,N014,Stocks,INFO_PRODUCT,GenZ Stock Memes guide/template for Stocks,"MM002,MM025,MM046",One-time sale,98,2026-03-23T02:00:10.541115
META008,GenZ Stock Memes,N023,Investing,INFO_PRODUCT,GenZ Stock Memes guide/template for Investing,"MM002,MM025,MM046",One-time sale,98,2026-03-23T02:00:10.541119
META008,GenZ Stock Memes,N033,Memes,INFO_PRODUCT,GenZ Stock Memes guide/template for Memes,"MM002,MM025,MM046",One-time sale,98,2026-03-23T02:00:10.541122
META004,AI Study Agents,N003,Tech,MEMECOIN,AI Study Agents community coin for Tech,MM034,Trading,93,2026-03-23T02:00:10.540970
META004,AI Study Agents,N003,Tech,INFO_PRODUCT,AI Study Agents guide/template for Tech,"MM002,MM025,MM046",One-time sale,93,2026-03-23T02:00:10.540972
META004,AI Study Agents,N010,Students,MEMECOIN,AI Study Agents community coin for Students,MM034,Trading,93,2026-03-23T02:00:10.540976
META004,AI Study Agents,N010,Students,INFO_PRODUCT,AI Study Agents guide/template for Students,"MM002,MM025,MM046",One-time sale,93,2026-03-23T02:00:10.540977
META007,Couple's Finance Dashboard,N008,Couples,CONTENT,Couple's Finance Dashboard content series for Couples,"MM006,CF013",Ads + Creator Fund,89,2026-03-23T02:00:10.541080
META003,Prayer Streak Apps,N001,Faith,CONTENT,Prayer Streak Apps content series for Faith,"MM006,CF013",Ads + Creator Fund,88,2026-03-23T02:00:10.540928
META003,Prayer Streak Apps,N003,Tech,CONTENT,Prayer Streak Apps content series for Tech,"MM006,CF013",Ads + Creator Fund,88,2026-03-23T02:00:10.540932
